latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
29.73856,80.71147,348.91,0.72,0.76,2024-01-17,0639,N21,VIIRS,n,2.0NRT,287.04,51.72,D
29.73877,80.71762,325.89,0.72,0.76,2024-01-17,0639,N21,VIIRS,n,2.0NRT,288.73,30.55,D
29.73991,80.71619,367,0.72,0.76,2024-01-17,0639,N21,VIIRS,h,2.0NRT,294.44,51.72,D
29.73749,80.71307,359.02,0.73,0.76,2024-01-17,0639,N21,VIIRS,l,2.0NRT,289.68,74.99,D
29.80794,80.01041,327.34,0.63,0.54,2024-01-17,0820,N21,VIIRS,n,2.0NRT,289.59,3.4,D
29.17441,77.51868,326.78,0.44,0.46,2024-01-17,0820,N21,VIIRS,n,2.0NRT,291.65,2.1,D
29.19441,77.71321,326.56,0.45,0.47,2024-01-17,0820,N21,VIIRS,n,2.0NRT,290.44,3.69,D
30.77615,77.74097,336.09,0.47,0.48,2024-01-17,0820,N21,VIIRS,n,2.0NRT,293.92,5.08,D
28.99834,77.59946,334.04,0.44,0.46,2024-01-17,0820,N21,VIIRS,n,2.0NRT,291.94,4.48,D
28.25261,77.65061,335.47,0.43,0.46,2024-01-17,0820,N21,VIIRS,n,2.0NRT,284.93,3.35,D
30.777,77.73871,337.98,0.47,0.48,2024-01-17,0820,N21,VIIRS,n,2.0NRT,296.09,4.82,D
30.10118,79.62089,344.49,0.6,0.53,2024-01-17,0820,N21,VIIRS,n,2.0NRT,296.23,14.75,D
30.10166,79.62654,341.84,0.6,0.53,2024-01-17,0820,N21,VIIRS,n,2.0NRT,293.29,14.75,D
30.10234,79.62007,343.23,0.6,0.53,2024-01-17,0820,N21,VIIRS,n,2.0NRT,298.26,24.83,D
30.10285,79.62568,354.08,0.6,0.53,2024-01-17,0820,N21,VIIRS,n,2.0NRT,297.92,42.32,D
30.39276,78.51141,337.42,0.52,0.5,2024-01-17,0820,N21,VIIRS,n,2.0NRT,293.75,6.8,D
30.10586,79.61808,338.58,0.6,0.53,2024-01-17,0820,N21,VIIRS,n,2.0NRT,292.82,14.75,D
30.10632,79.6235,349.98,0.6,0.53,2024-01-17,0820,N21,VIIRS,n,2.0NRT,295.16,14.75,D
30.60125,78.26433,311.36,0.45,0.39,2024-01-17,2044,N21,VIIRS,n,2.0NRT,277.89,1.69,N
29.42119,79.52084,297.68,0.52,0.42,2024-01-17,2044,N21,VIIRS,n,2.0NRT,278.7,1.25,N
29.78975,79.11039,301.4,0.5,0.41,2024-01-17,2044,N21,VIIRS,n,2.0NRT,276.24,1.87,N
30.40794,78.5612,308,0.46,0.39,2024-01-17,2044,N21,VIIRS,n,2.0NRT,277.06,1.15,N
30.40885,78.55628,306.8,0.46,0.39,2024-01-17,2044,N21,VIIRS,n,2.0NRT,276.6,1.33,N
30.35586,78.26873,332.76,0.43,0.38,2024-01-18,0800,N21,VIIRS,n,2.0NRT,294.42,4.87,D
29.77934,79.29114,328.51,0.47,0.39,2024-01-18,0800,N21,VIIRS,n,2.0NRT,294.13,3.49,D
29.79107,79.1201,339.29,0.46,0.39,2024-01-18,0800,N21,VIIRS,n,2.0NRT,287.81,8.74,D
29.79052,79.11579,337.67,0.46,0.39,2024-01-18,0800,N21,VIIRS,n,2.0NRT,287.13,5.99,D
29.86005,79.49555,329.78,0.48,0.4,2024-01-18,0800,N21,VIIRS,n,2.0NRT,288.7,3.63,D
30.11134,79.62985,331.45,0.49,0.4,2024-01-18,0800,N21,VIIRS,n,2.0NRT,295.5,9.45,D
30.07061,78.93675,328.34,0.45,0.39,2024-01-18,0800,N21,VIIRS,n,2.0NRT,289.92,6.46,D
30.09382,78.91929,329.37,0.45,0.39,2024-01-18,0800,N21,VIIRS,n,2.0NRT,291.76,2.78,D
